報導標題,報導日期,報導大意,報導內文
以哈戰爭／國際記者黎巴嫩遇襲1死1傷 調查：砲彈從以色列發射,2023-12-08,以色列坦克砲火攻擊國際媒體記者，蓄意且具針對性；法新社、路透社7日公布10月13日採訪傷亡調查，一大群有明顯標示的記者團遭以軍開火，造成路透社記者殞命、法新社記者重傷。以色列表示他們打的是哈瑪斯，沒有針對平民。,10月13日在黎巴嫩南部、靠近以色列邊界的阿瑪阿沙布，一群身穿有明顯字樣「Press」防彈背心的國際媒體記者，正在報導以色列軍方與黎巴嫩民兵組織真主黨在邊界交火的情況。法新社記者阿西被突如其來的炮火轟炸，嘴裡飆出一連串的髒話，「可惡，發生什麼事，我的腳沒感覺。」阿西表示，「我們當時離前線有一段安全距離，因此基本上我們應該是安全的，我們覺得安全。」阿西身受重傷但撿回一命，路透社攝影記者阿布杜拉可沒這麼幸運，他遇襲殉職。法新社全球新聞主任齊特溫指出，「將一群有明顯標誌，且正在進行報導的新聞記者當作攻擊目標，實在令人費解。」路透社採訪30多名政府安全官員、軍事專家、法醫、律師、醫護以及目擊者，拼湊事發經過。該區當時有8家媒體，提供數小時影像檔，以及襲擊前後數百張照片，包括高解析度衛星影像，還蒐羅現場證據，包括汽車上的炸彈碎片、相機、腳架，還有一大塊金屬，送交荷蘭國防獨立分析機構。路透社總編輯賈樂尼強調，「我們譴責殺害伊薩姆（阿布杜拉）的行為，我們要求以色列解釋這些怎麼發生的。」路透社依相關結果，包括知道坦克砲彈是從以色列境內發射的，向以色列國防軍問了更多問題，包括他們是否知道向記者開火。以色列政府發言人列維回應，「我對這些特殊的報導不清楚，我們的目標是哈瑪斯，不是平民。」《國際人道法》禁止攻擊記者，新聞媒體從業人員不能被視為軍事目標。專家表示，這些證據顯示以色列顯然違法，也可能犯下攻擊平民的戰爭罪。
以哈戰爭／影星親巴勒斯坦遭開除 挺巴民眾走上街頭抗議不公,2023-12-06,以哈戰爭引發的爭議延燒到好萊塢，在影后蘇珊莎蘭登（Susan Sarandon）等知名人士，因為發表挺巴勒斯坦言論被開除後，週二（5日）有許多支持巴勒斯坦的民眾走上街頭，抗議經紀公司和製作單位立場不公，危害言論自由。,在罷工爭議落幕後，好萊塢再度出現示威抗議人潮，一群力挺巴勒斯坦的民眾，不滿經紀公司和製作單位對發表親巴言論的藝人開鍘，5日來到比佛利山莊表達心聲。抗議人士錢德勒說：「經紀公司其實是在懲罰那些敢於發聲的人，太過分了。好萊塢有這樣的歷史，麥卡錫時代好萊塢就這麼做了，現在這些人同樣這樣惡搞。」抗議人士莎拉則說：「好萊塢因審查任何公開談論，這項議題的演員和藝術家而臭名昭彰，他們正在開除最好的一線藝術家和演員。」奧斯卡影后蘇珊莎蘭登11月多次出席挺巴勒斯坦集會，並在社群網站轉發挺巴貼文，結果遭到經紀公司解約。此外主演《驚聲尖叫》（Scream）第5、第6集的墨西哥女星梅莉莎芭蕾拉（Melissa Barrera），也同樣因為挺巴爭議而被製作單位開除，確定無法再回歸演出續集。抗議人士認為，民眾應有表達立場的言論自由，好萊塢的審查機制等於扼殺藝人的表演空間。但是隨著以巴衝突持續，雙方各有擁護群眾，類似爭議恐怕仍將持續在美國上演。
以哈戰爭／以色列控性侵婦女 哈瑪斯否認籲國際調查,2023-12-06,以色列近日提證據指控，哈瑪斯10月7日襲擊期間性侵並殺害婦女；哈瑪斯否認犯行，呼籲國際公正調查。,以色列警方表示握有超過6萬份影像檔。一名年輕女子被一名武裝分子揪著頭髮拉出塞進後座，雙手被綑綁，褲管腳踝跟手臂有血跡，照片沒有呈現出她遭遇什麼事。另有目擊者錄影表示，見到槍手輪暴一名婦女並將其殺害，警方拒絕透露目擊者身分並拒絕讓他受訪。根據路透社的調查報導，在社群媒體上的影片以及部分搜救人員證詞描述到性暴力。搜救人員說：「有一具裸屍，嘴部、手部被綑綁。」專家指稱這是「史上紀錄最多的暴行」，但許多遺體經過多天後才被發現，證據已經腐敗，且根據猶太葬禮，維護死者尊嚴必須盡快下葬，遺體穿戴的所有東西也必須一起，包含被強暴的證據。希伯來大學人權法律專家艾卡雅姆里維指出，「但我們現在知道有多起針對婦女兒童的性暴力案件，哈瑪斯帶著攝影機進入以色列，用受害者的手機自拍。」以色列警方表示，正針對逮捕的哈瑪斯可能犯下的強暴案進行調查，未來將對每位在押嫌犯進行審判。哈瑪斯否認性暴力指控、否認旗下戰士應該負責，其政治局媒體顧問塔希爾努諾呼籲對此事「採取嚴肅公正的國際調查」。
以哈戰爭／以下疏散令後猛轟南加薩 賀錦麗譴責以傷無辜百姓,2023-12-04,以色列軍方3日表示，對加薩南部軍事攻擊不會比在北部力道小，下令南部居民盡速撤離，隨後猛烈轟炸。戰事衝突範圍擴大的擔憂正在加劇，美國海軍驅逐艦卡尼號及數輛商船在紅海遭到攻擊，胡塞武裝組織承認，有射飛彈但不是針對美軍；以色列針對商船部分，表示跟以方無關。,加薩走廊南部夜空被不斷發射過來的火焰彈照亮，以色列軍方表示，對該區的轟炸不亞於先前在北部的力道。哈瑪斯則稱，旗下戰士在距離南部城市甘尤尼斯約2公里處跟以軍交鋒。百姓們說能聽到坦克開火的聲音，而該區被猛烈轟炸，已無處可躲。加薩居民蓋賓說：「我們撤離後，狙擊手瞄準我們。」於此同時，衝突範圍恐怕擴大的隱憂加劇，美國五角大廈表示，美軍驅逐艦卡尼號和多艘商船在紅海遭襲擊，伊朗支持的葉門什葉派激進團體「青年運動」承認攻擊2艘船，但不承認襲擊美國海軍艦艇。青年運動軍事發言人沙里亞表示，「我們繼續阻止以色列船隻在紅海和阿拉伯海航行，直到以色列停止對我們在加薩弟兄的侵略。」以色列國防軍發言人哈加里強調，「導彈射向與以色列無關的商船，我再說一遍，與以色列無關。」以色列啟動的新一波攻擊，讓仍遭挾持的137名人質命運難卜，人質家屬呼籲以色列政府盡快救人，就怕時間已經不多。以哈停火協議破裂至今，以軍已在加薩發動超過400次攻擊，哈瑪斯則宣稱對特拉維夫等市鎮火箭彈轟炸。美國副總統賀錦麗（Kamala Harris）在杜拜聯合國氣候峰會嚴厲譴責以方傷及無辜百姓，造成大量死亡，儘管以色列擁有自衛權。加薩衛生部表示，10月7日以來，當地死亡人數已超過1萬5500人，7成為婦女跟小孩。
以哈戰爭／延長休戰破局 加薩再陷戰火,2023-12-03,以哈延長休戰破局，讓加薩地區再次陷入戰火。以色列批評武裝組織哈瑪斯不願再釋放婦孺人質，哈瑪斯卻否認，表示所有婦孺人質已經換完，雙方僵持不下。此外根據以軍情資顯示，主導10月7日對集體農場突襲行動的哈瑪斯指揮官，已經在恢復衝突後的2日空襲中喪生。,以色列第2大城特拉維夫的市中心廣場上聚集了大批人潮，部分民眾手上拿著還未被釋放的人質照片，訴求立即釋放剩下的人質。獲釋民眾特魯帕諾夫說道，「我來這裡是要感謝你們，因為沒有你們我不會站在這裡。現在我們必須帶回我的兒子薩沙，和其他所有人質。」以色列國防部長葛朗特（Yoav Gallant）2日批評，哈瑪斯原本承諾要再釋放17名婦女、兒童，最後卻拒絕釋放；但哈瑪斯反駁，表示剩下的人質中已經沒有婦女跟兒童，在以色列停火前，不再跟以色列交換囚犯。哈瑪斯政治局副領袖艾魯里（Saleh al-Arouri）表示，「哈瑪斯和反抗運動的官方最終立場就是在結束侵略和永久停火前，不會再進行任何交換。」而以色列政府指出，目前已召回在卡達與哈瑪斯談判的代表團。以色列總理納坦雅胡（Benjamin Netanyahu）2日在記者會，重申帶回人質、擊敗哈瑪斯，跟確保加薩未來不會對以色列構成威脅的3個目標，表示將會持續在加薩進行地面行動，直到實現所有目標。此外，根據以軍情資顯示，在恢復對加薩的空襲後，已擊斃主導10月7日納哈勒奧茲集體農場突襲行動的哈瑪斯指揮官法哈特（Wessam Farhat）。另外，在以哈延長休戰破局的第2天，以色列軍隊也在黎巴嫩邊境，跟當地的武裝團體真主黨交火，至少造成黎巴嫩南部有3人死亡，其中2人是真主黨的戰鬥員。
以哈戰爭／泰國移工遭哈瑪斯綁架 獲釋平安返國,2023-12-02,以色列和哈瑪斯為期1週的停火協議在1日到期，雙方再度點燃戰火。以色列指控哈瑪斯違反協議發射火箭彈，以色列則發動空襲造成至少175人喪命。而遭到哈瑪斯綁架的泰國移工人質獲釋返國，回想在加薩的日子，更珍惜重生後的機會。,從加薩劫後餘生的潘空和穆爾坎，吃著家人準備的餐點，雖然都是家常小菜，此刻卻是最思念的家鄉味。兩人遠渡以色列打工已經4年多時間，打算明年存夠錢之後回到泰國共組家庭，10月7日以哈爆發衝突後，兩人淪為人質，在加薩度過人生最黑暗的50天。獲釋泰國人質潘空(音譯)回憶說道，「我們能做的就是坐著等或躺著等，然後為彼此打氣。」獲釋泰國人質穆爾坎(音譯)則說：「這很像死後重生。」以哈爆發衝突前，以色列約有3萬多名泰國移工，他們多數來自於泰國東北偏鄉，遠渡重洋到以色列農作區打工賺家用。泰國政府指出，哈瑪斯殺害39名泰國人，綁走32人，第一批獲釋的泰國民眾在11月30日返國，目前尚有9人等待援救。以哈在停火1週的協議在1日一到期，雙方隨即再度點燃戰火。以色列指控哈瑪斯發射火箭彈，美國也譴責哈瑪斯違反協議。美國國務卿布林肯（Antony Blinken）指出，「哈瑪斯違反協議，事實上就在協議到期前，哈瑪斯開始發射火箭彈，在協議結束前。」以色列對加薩的200多個哈瑪斯據點展開空襲，加薩南區甘尤尼斯市的醫院湧入大量傷患。哈瑪斯也反控美國和以色列應該為最新的衝突負責。哈瑪斯資深發言人哈丹表示，「我們譴責雙方的失敗，美國和以色列，顯然昨天以色列就計畫再發動攻勢。」停火期間已經有100多名人質獲釋，130人仍被挾持。另外以色列軍隊在1日證實，有6名人質已經身亡。
以哈戰爭／以控哈瑪斯違反協議 休戰告終恢復空襲,2023-12-01,"以哈衝突延長休戰無望，以色列總理納坦雅胡1日宣稱武裝組織哈瑪斯違反協議，在休戰最後1小時用火箭攻擊以色列遭以軍攔截，雙方隨即恢復在加薩的戰鬥狀態。而休戰最後1天內，哈瑪斯釋放8名以色列人質，以色列也放了30名巴勒斯坦囚犯。
",深夜，警報聲突然響起，隨後不到幾秒，能看到響起爆炸聲，天空還突然亮了一下，像是宣告結束休戰。以色列總理納坦雅胡1日指控哈瑪斯違反協議率先對以軍開火，而哈瑪斯則痛批以色列違反協議阻擋燃油物資進入加薩，導致為期7天的休戰告終，以軍也恢復對加薩地區的空襲。儘管美國國務卿布林肯昨（30）日在以色列表示，恢復戰鬥後希望以軍能避免平民傷亡，但1日以軍的空襲再度造成百姓死傷，巴勒斯坦方面則強調，埃及跟卡達的協調人員持續針對近一步的休戰進行談判。以哈衝突在第2次延長休戰期限後，武裝組織哈瑪斯在休戰第7天前後釋放2名跟6名以色列人質，其中有1名人質是擁有以色列跟法國雙重國籍的米雅謝姆，讓接到通知的家屬喜極而泣。人質母親凱倫謝姆表示，「米雅被放回來了。」對此，以色列也從監獄中再度釋放30名巴勒斯坦人。獲釋的民眾搭乘紅十字會的巴士進入約旦河西岸地區後，現場有不少民眾開心高舉哈瑪斯的旗幟歡呼。而被釋放的巴勒斯坦人隨後控訴，10月7日以哈衝突爆發後，原本在獄中巴勒斯坦囚犯隨即遭以色列獄方人員虐待毆打，有6名囚犯因此在拘留所死亡。獲釋巴勒斯坦人巴歐說道，「獄方人員在裡面毆打、壓迫、攻擊囚犯，這太可怕了。」獲釋巴勒斯坦人阿斯卡拉認為，「他們在心理上、身體上折磨我們，他們毆打我們，導致有些人眼睛流血還有人被暴打。」由於哈瑪斯手中的以色列婦女跟兒童的人質愈來愈少，雙方可能需要進一步制定新的條件，來釋放軍人等以色列男性人質才能再繼續延長休戰。自休戰協議11月24日生效至今，哈瑪斯已釋放105名人質、以色列也釋放了240名巴勒斯坦囚犯。 
以哈戰爭／57名記者殉職 媒體控以違反國際戰爭規則,2023-12-01,「保護記者委員會」表示，加薩戰爭期間有57名新聞記者殉職，其中50人是巴勒斯坦人。無國界記者以及多家媒體控訴以軍違反國際戰爭規則，攻擊在前線採訪的新聞記者。由於加薩遭到以色列全面封鎖，外國媒體根本無法進入採訪，所有國際媒體、通訊社的素材都仰賴在地的巴勒斯坦記者。他們本身也是難民，承受著家破人亡的悲痛在危機四伏的環境裡工作。,記者拉米賈慕斯所居住的北加薩社區11月10日接到以軍的最後通牒，要求他們在30分鐘之內撤離，否則就等著從天而降的砲彈。賈慕斯用攝影機記錄了他帶著妻子及2歲幼子逃往西法醫院避難的過程。他們舉著用白色襯衣做的白旗，提著簡易的行李，扶老攜幼在砲聲和子彈槍響中前進。巴勒斯坦記者賈慕斯說道，「快點，不要怕，待在一起。把他抱起來，對了就是這樣，把他背在你背上。」一路上賈慕斯不時安撫年幼的孩子，穩定他的情緒，一方面還照顧指導鄰居躲子彈。巴勒斯坦記者賈慕斯繼續說道，「不要害怕靠右邊，先生靠右邊走。不要害怕、不要害怕，兒子你還好吧?我們要離開了，做得很好，我以你為榮我的愛。」幾分鐘過後，賈慕斯遇到了鄰居阿布阿瑪德，他癱坐在人行道上痛哭手還舉著白旗，而他的兒子頭部中彈倒在血泊中。阿瑪德哭訴著「要是沒有離開就好了，要是沒有離開你就不會死」。小阿瑪德一度出現微弱呼吸，賈慕斯呼叫眾人把他扛起來一起前往醫院，但遺憾的是最後還是宣告不治。巴勒斯坦記者賈慕斯指揮，「快點，他還有呼吸！我們帶著他走，動作快一點。」一行人抵達西法醫院，鏡頭放眼望去到處都是被毯子、白布覆蓋著的屍體。大家於是立刻往南遷跨越了加薩河一路前往拉法。在拉法的第1個早晨，看到久違的蔬菜，兒子像是看到耶誕禮物一樣開心。巴勒斯坦記者賈慕斯提到，「我們已經很久沒有看到蔬菜了，耵著蔬菜像是看到耶誕老公公似的。」10月7日開戰以來，加薩遭到以色列全面的大封鎖，外國媒體根本無法進入現場實地採訪，所有國際媒體、通訊社的素材來源都仰賴在地的巴勒斯坦記者。賈慕斯事後被CNN的資深中東記者喬馬拉卡拉辛問道，為甚麼要記錄這段過程? 他在錄音中強忍著淚水，說希望全世界都看到他們承受的不公和壓迫，外界對巴勒斯坦人說的一切都感到懷疑，他們老是被認為是在說謊，而以色列說的才是真相。因此把一切記錄下來公諸於世非常重要。賈慕斯還說除非被人用槍指著額頭或是死了，否則他絕不離開自己的土地。總部設在美國紐約的「保護記者委員會」的統計顯示，24日以哈休兵之前，48天的戰事有57名新聞記者殉職，其中50人是巴勒斯坦人、4人是以色列人、還有3名是黎巴嫩記者，創下了「保護記者委員會」30多年來追蹤記者傷亡事故最慘重的紀錄。「無國界記者」對10月13日號發生在黎南邊界的記者團遇難事件，以拍攝影片和目擊者證詞所做的調查報告，初步結論把矛頭指向以色列國防軍，控訴以軍違反國際戰爭規則，鎖定在戰場最前線採訪的新聞記者進行攻擊。黎南記者團倖存者尤卡達提到，「我們明白地說我們是遭以色列攻擊，那1天遭遇2枚以色列火箭炮，我們非常清楚這不是第1次了，10月9日也有過遭一枚以色列火箭炮攻擊，很幸運的我們躲過了第1次攻擊，10月13日第2次攻擊殺了我們的同事伊薩姆阿布杜拉還有其他同事在第二次攻擊中受傷。」無國界記者中東區負責人達戈爾認為，「把記者當作攻擊目標不單單是戰爭罪，根據人道法積極保護這些記者也是國際義務，不幸的是我們看到情況並非如此，僅僅過去幾週就有多名記者在以色列對加薩的空襲中殉職。」黎南記者團倖存者身兼卡達半島新聞台的記者尤卡達，指這已經不是以軍第1次要讓他們「閉嘴」。去（2022）年5月她的同事席林阿克萊在西岸佔領區採訪時，她戴著鋼盔、穿著清楚標示著媒體的防彈背心，而子彈從她的後頸部射入並從她的臉部穿出，她絲毫沒有任何生還的機會。黎南記者團倖存者尤卡達補充，「在我們至關重要的工作中已經不相信正義了，如果有正義，席琳阿布阿克萊、伊薩姆仍然會在這裡，所以沒有正義。但事實是我們只是想說誰殺了他們，這是最糟糕和最困難的部分，你只是想說出是誰殺的都要奮戰一番，因為即使一切如此明顯，不幸的是有些人就是想抹去以色列殺害記者這個真相。」
以哈戰爭／休戰協議2度延長 以色列恐幾天內恢復軍事行動,2023-12-01,以哈衝突休戰協議再延1天，哈瑪斯釋放更多人質。耶路撒冷30日公車站槍擊3死，槍手是哈瑪斯；29日以軍突襲約旦河西岸，2名巴勒斯坦男孩喪生。一來一回，讓斡旋的埃及、卡達，欲再爭取2天休戰增添困難度；正在以色列訪問的美國國務卿布林肯表示，以方可能在幾天內就恢復軍事行動。,耶路撒冷一處公車站，30日上午尖峰時段，有數人遭到2名槍手射殺身亡，以色列警方隨後擊斃槍手，案後哈瑪斯承認槍手是他們的人。以色列總理納坦雅胡（Benjamin Netanyahu）說：「我誓言要根除哈瑪斯，什麼都無法阻擋我們。」前一天29日，以色列加強在約旦河西岸的反恐行動，西岸北部城市哲寧的8歲跟14歲巴勒斯坦男孩，在突擊中被槍殺。彼此看不順眼的以色列、哈瑪斯一來一往，顯示雙方在衝突與休戰談判期間，原本就存在的矛盾正隱隱發作。美國國務卿布林肯（Antony Blinken）訪問中東，跟以色列總理納坦雅胡見面；會後表示，納坦雅胡已經把話說白，最近幾天內將恢復軍事行動。布林肯強調，「我清楚表示，在以色列恢復大規模軍事行動前，必須制定人道主義平民保護計畫。」以哈休戰協議一再延長，讓已被打得稀巴爛的加薩獲得喘息，目前正針對休戰協議居中斡旋的埃及跟卡達談判持續，希望再爭取兩天的時間；而以哈雙方過去兩天的槍擊、突襲事件恐怕為談判增添變數。
以哈戰爭／哈瑪斯稱人質比巴斯1家3口亡 恐牽動延長休戰談判,2023-11-30,以色列與哈瑪斯的休戰協議週三（29日）到期，各界期盼能再度延長。哈瑪斯方面傳出挾持的以色列比巴斯一家，包括年紀最小人質、僅10個月大的斐赫等都已喪生；以方正在查證這項消息，如果證實，恐怕為休戰談判蒙上陰影。,29日從哈瑪斯這方交出更多以色列人質。哈瑪斯盟友巴勒斯坦伊斯蘭聖戰組織熟悉人士表示，雙方已進行人質交換；但受矚目的比巴斯一家，不在這波名單中。根據哈瑪斯方面未經證實的消息，包括年紀最小，才10個月大的嬰兒斐赫、4歲的艾瑞爾以及他們的母親等在內的比巴斯一家，已於更早些時候的以色列轟炸中喪生。以色列戰時內閣、前防長甘茨表示，「比巴斯家族親屬很痛苦，我不知道這是否為真，或者不是，這是我們敵人正在進行的殘酷心理戰的一部分，不過，我們已準備好隨時重返戰鬥。」以色列方面正在查證，如果屬實，恐怕為再度延長的休戰談判蒙上陰影。兩名巴勒斯坦官員告訴路透社，談判仍在繼續，原協議30日早些時候到期，但目前尚未進一步談成什麼內容。29日人在布魯塞爾的美國國務卿布林肯（Antony Blinken）表示，接下來幾天將訪以色列談論相關內容。布林肯說：「因為休戰可讓人質獲釋回家與家人團聚，還讓我們得以提供加薩百姓人道援助，這是我們要的，我相信這也是以色列想要的。」一名以色列官員稍早表示，如果哈瑪斯不承諾釋放人質中所有婦女跟兒童，就不可能延長休戰，也認為武裝分子手上握有夠多的人質，足以讓休戰協議延長兩到三天。一名巴勒斯坦官員表示，談判者正在討論交換以色列男性人質的可能性。
以哈戰爭／雙方釋放人質和囚犯 UN要求延長停火協議,2023-11-29,以哈雙方持續釋放人質跟囚犯，其中有獲釋的小男孩提及，被關押時哈瑪斯會逼迫他們觀看戰爭過程，造成心理創傷，這些孩子則需要接受檢查治療。另一方面，被釋放的巴勒斯坦少年則說，他在以色列的監獄中聽到巴勒斯坦婦女被鎮壓和暴力對待。,被俘擄52天後，3名擁有法國和以色列雙重國籍的孩童終於獲釋。家屬表示，孩子除了營養不良，身體大致良好，但透露他們在這段期間被哈瑪斯強迫看攻擊以色列的畫面，過程中一旦有孩子哭泣，就會被武器威脅，讓他們安靜，現在情緒還不太穩定。家屬說孩子還需要一段時間調適，目前正在以色列醫院接受檢查。3位孩童的父親也都同時被綁，目前仍未獲釋。多名稍早獲釋的人質也透過第三人轉述，表示被關押的衛生條件很糟，能吃的東西不多，也沒有洗澡，直到獲釋的前一天才換上新衣服。以色列人質家屬塔拉尚斯基表示，「我有2個孩子，加莉和利奧爾，利奧爾已經死了，我們還沒有舉行葬禮，我們不能為他悲傷，因為加莉在哈瑪斯手中，我不想失去我的另一個孩子，我只有加莉，希望她盡快回家。」停火5天以來，哈瑪斯分批釋放81名人質，以色列則釋放180名囚犯。被釋放的14歲巴勒斯坦囚犯薩萊馬表示，「戰爭的第一天，我們聽到婦女被毆打，她們被鎮壓和暴力對待。猶太人（以色列人）想對我們發動鎮壓，但在以色列監獄中的巴勒斯坦囚犯阻止了他們，我們從10月7日一直被關到今天。」而在28日，巴勒斯坦指控以色列違反了暫時停火協議，在停戰期間有巴勒斯坦人試圖返回家園，卻遭到以色列軍方砲擊。以色列軍方表示是警告性射擊，因為有可疑的武裝分子靠近，坦克車才開火。以色列軍方強調這段時間還是加強備戰，但聯合國說，目前加薩已經有170萬人流離失所，以色列面臨愈來愈大的國際壓力，除了要求停火協議延長之外，還要增加對加薩的人道援助。世界糧食計畫署則說，從上週五（24日）以來，已經運送物資給加薩逾12萬人，但飢荒的風險仍然很高。
以哈戰爭／卡達稱休戰協議再延2天 白宮確認、以色列未置評,2023-11-28,以色列、哈瑪斯原定4天的休戰協議再延2天，這是由居中斡旋的卡達發布、美國白宮確認；以色列方面目前對此未予置評。,以色列母親齊恩殷切盼望了51天，終於與8歲跟15歲的兩位寶貝女兒重聚。現在這樣的希望，又多2天可以發生在其他人身上，無論是以色列人，還是巴勒斯坦人。居中協調的卡達27日表示，以、哈同意休戰的4天協議，再延2天。一名哈瑪斯官員在接受路透社電話訪問時表示，休戰條件與之前談的相同。美國白宮國家安全會議發言人柯比透露，「哈瑪斯承諾在接下來2天內，再釋放20名婦女和兒童。」多方相關聲明均未說明接下來要釋放多少人質，不過埃及國家新聞局長拉什萬稍早前表示，交換的有以色列20名人質、巴勒斯坦囚犯60人。協議還包括允許援助物資的車輛進入加薩。聯合國祕書長古提瑞斯（Antonio Guterres）說：「這是戰爭黑暗中的一絲希望與人性的光輝，即使有了額外的時間，也不可能滿足加薩人民所有強大的需求。」根據原定於27日晚間結束的休戰協議，有11名以色列人、33名巴勒斯坦人獲釋；白宮表示這批人質中有2名美國婦女；哈瑪斯說已經收到以色列所給、要放出來的巴勒斯坦人名單，有3名女囚犯、30名未成年人。以色列總理納坦雅胡辦公室表示，已通知獲釋人質家屬。
以哈戰爭／哈瑪斯釋第3批17人質 美4歲女童遭挾50天獲釋,2023-11-27,以色列和哈瑪斯實施停火協議的第3天，哈瑪斯釋放第3批人質，總計有17人從加薩返抵以色列，獲釋人質包括一名4歲美籍女童和85歲的老奶奶。以色列則依照協議，釋放39名巴勒斯坦青少年囚犯，預計最後一批人質換囚犯的計畫將在27日進行。,遭到哈瑪斯挾持長達50天的美籍女童艾比蓋兒．艾丹，在獲釋前兩天度過4歲生日。知道孫女在第3批獲釋人質名單上，艾丹的祖父說像做夢一樣。獲釋人質家屬艾丹說：「現在我比較能鬆口氣，而無法完全放下，因為有開心，但也失去女童父母羅伊和哈達。」哈瑪斯10月7日突襲以色列期間，艾丹的父母在她眼前遭到殺害，隨後她被哈瑪斯帶走淪為人質，26日才獲釋。美國總統拜登也親自宣布這項好消息。艾丹的父親羅伊是以色列網路媒體記者，26日羅伊的同事趕赴人質獲釋的現場採訪，特地帶著羅伊生前使用的攝影機，代替他記錄女兒平安回家的片刻。以色列記者西亞查諾維表示，「我感到這是光榮的時刻，今天能帶著他的麥克風。」以哈在24日實施停火協議，4天時間將釋放4批人質換囚犯的計畫。根據哈瑪斯提供的影片，26日獲釋的17名人質有14名以色列籍、3名泰國籍，其中還包括好幾名兒童，以及一名高齡85歲的祖母。獲釋人質都在以色列的醫院接受檢查與治療。以色列釋放39名來自7所監獄的巴勒斯坦囚犯，一對獲釋的兄弟檔在街頭受到英雄式的歡迎。獲釋的囚犯年紀在19歲以下，被逮捕的原因是對以色列軍警投擲石塊和損毀公共建物等，一名囚犯被關押超過1年半之久，以色列也挨批罔顧青少年權益。巴勒斯坦獲釋囚犯薩巴說，「我在牢裡待了20個月，過去2個月日子過得很苦。」CNN報導，哈瑪斯有意延長停火協議的期限，希望能爭取更多囚犯獲釋，以色列則堅持每多停火一天，哈瑪斯就得釋放更多人質。
以哈戰爭／休戰第3日 哈釋17人質、以釋39巴囚,2023-11-27,以哈為停戰釋放人質的協議第3天，哈瑪斯釋放17人，其中包括14名以色列人，以及第一位美國人；以方也釋放39名巴勒斯坦人。,這輛巴士從以色列奧佛監獄開往約旦河西岸，有人發出歡呼。26日傍晚，哈瑪斯釋放17人、以色列釋放39名巴勒斯坦囚犯。獲釋巴勒斯坦人阿契山說：「我們的喜悅一直下去。」哈瑪斯釋放的部分人質直接交給以色列，另外有些從埃及離開。以色列總理納坦雅胡辦公室表示，名單上有9名年齡在17歲及以下的兒童。另外有3名泰國人獲釋。哈瑪斯表示「為了回應俄羅斯總統蒲亭（Vladimir Putin）的努力，釋放一名俄羅斯人質，其身分為俄裔以色列籍公民」，他也是第一名獲釋的男性人質。當天，納坦雅胡（Benjamin Netanyahu）前往加薩與軍中將領士兵見面並聽取簡報。納坦雅胡表示，「我們將持續戰鬥直到勝利，沒有什麼能阻擋我們。」27日週一將進行第4次人質交換，也是停火協議最後一天。以美國、埃及跟卡達為首的國際調停，正試圖延長這份協議。哈瑪斯首度表示將尋求釋放更多人質，換取延長停火協議。以色列對此持開放態度。美國總統拜登（Joe Biden）認為，「我有一種感覺，該地區的所有參與者，甚至是沒有直接參與的鄰國，現在都在尋求一種讓這一切結束的方法。所以所有人質都被釋放了，哈瑪斯就完全，該怎麼說呢，就不再控制加薩的任何部分了。」第3天的人質交換中，4歲美國女童艾丹已成功獲釋，美國確認她是首名獲釋的美籍人質。總統拜登表示稍晚會跟納坦雅胡通話，盼停火期間延長，讓更多人質回家。
以哈戰爭／哈瑪斯釋第2批人質 首批抵以色列空軍基地,2023-11-26,以哈衝突進入休戰期間，25日休戰第2天晚上，武裝組織哈瑪斯釋放第2批人質，包含13名以色列人跟4名泰國人，其中年紀最小的是一名3歲的兒童。而哈瑪斯第1批釋放的人質，也平安抵達了以色列哈澤里姆空軍基地。,載著第2批釋放人質的車輛，在以色列當地26日凌晨，從以色列南部邊境通過埃及拉法關卡，準備進入以色列。以哈衝突進入休戰期間，繼當地24日第1天晚上，武裝組織哈瑪斯釋放第1批人質，共13名以色列人跟11名外籍人士後，以色列也釋放39名巴勒斯坦人。25日晚間，哈瑪斯又釋放第2批人質，包括13名以色列人跟4名泰國人，還公布了將人質移交給紅十字會的畫面。以色列國防軍發言人哈里加少將指出，「努力遣返人質是一項道德和倫理義務，我們下定決心，要用各種方式來實現這目標，今晚，這些努力都在持續推進，當釋放人質發生時，我們會通知其家人和大眾，我們需要耐心等候。」外媒報導，這一批人質中有3人不到10歲，其中年紀最小的是1名3歲兒童。但這些人質的家屬還有不少人依舊被哈瑪斯俘虜。而哈瑪斯原本打算延期放人，要求以色列得遵守承諾，允許人道援助卡車，進入加薩走廊北部，才肯放人。以色列雖然也表態，在休戰期間到期後便會繼續開戰，但也提出，哈瑪斯每多釋放10名人質，就能延長停火天的時間。以色列的總理納坦雅胡在接到第2批人質獲釋後，也抵達位於特拉維夫的以色列軍事總部，監看相關畫面與資料。至於哈瑪斯第1批釋放的人質，目前也已經平安抵達以色列哈澤里姆」軍基地，由軍人們護送進入基地休息。
